"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.15","84.70","83.16","83.73","RMA","20231205"
"GBP","104.00","106.85","105.43","106.10","RMA","20231205"
"EUR","89.25","91.70","90.45","91.04","RMA","20231205"
"JPY","55.95","57.55","56.72","57.12","RMA","20231205"
"CHF","94.00","96.65","95.28","95.98","RMA","20231205"
"HKD","10.50","10.80","10.64","10.72","RMA","20231205"
"CAD","60.60","62.30","61.41","61.85","RMA","20231205"
"AUD","54.60","56.10","55.34","55.69","RMA","20231205"
"SGD","61.45","63.20","62.30","62.77","RMA","20231205"
"DKK","11.95","12.30","12.13","12.21","RMA","20231205"
"SEK","7.90","8.10","7.99","8.05","RMA","20231205"
"NOK","7.65","7.85","7.75","7.80","RMA","20231205"
"USD","82.15","84.7","83.16","83.73","BOB","20231205"
"USD.5.20","79.69","","","","BOB","20231205"
"USD.12","78.04","","","","BOB","20231205"
"GBP","104","106.85","105.43","106.1","BOB","20231205"
"EUR","89.25","91.7","90.45","91.04","BOB","20231205"
"JPY","55.95","57.55","56.72","57.12","BOB","20231205"
"CHF","94","96.65","95.28","95.98","BOB","20231205"
"HKD","10.5","10.8","10.64","10.72","BOB","20231205"
"CAD","60.6","62.3","61.41","61.85","BOB","20231205"
"AUD","54.6","56.1","55.34","55.69","BOB","20231205"
"SGD","61.45","63.2","62.3","62.77","BOB","20231205"
"DKK","11.95","12.3","12.13","12.21","BOB","20231205"
"SEK","7.9","8.1","7.99","8.05","BOB","20231205"
"NOK","7.65","7.85","7.75","7.8","BOB","20231205"
"USD","82.05","84.60","83.09","83.67","TBL","20231205"
"USD.5.20","79.59","","","","TBL","20231205"
"USD.12","77.95","","","","TBL","20231205"
"GBP","103.85","106.70","105.26","105.96","TBL","20231205"
"EUR","89.35","91.80","90.56","91.15","TBL","20231205"
"JPY","55.45","57.00","56.18","56.58","TBL","20231205"
"CHF","93.80","96.45","95.08","95.78","TBL","20231205"
"HKD","10.50","10.80","10.64","10.71","TBL","20231205"
"CAD","60.60","62.30","61.44","61.87","TBL","20231205"
"AUD","54.35","55.85","55.09","55.46","TBL","20231205"
"SGD","61.40","63.10","62.21","62.65","TBL","20231205"
"DKK","12.00","12.30","12.14","12.23","TBL","20231205"
"SEK","7.85","8.05","7.96","8.02","TBL","20231205"
"NOK","7.65","7.85","7.73","7.79","TBL","20231205"
