"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.00","84.55","83.03","83.61","RMA","20231118"
"GBP","101.60","104.45","102.98","103.68","RMA","20231118"
"EUR","88.90","91.40","90.10","90.72","RMA","20231118"
"JPY","54.15","55.65","54.87","55.26","RMA","20231118"
"CHF","92.10","94.70","93.34","94.03","RMA","20231118"
"HKD","10.50","10.80","10.64","10.71","RMA","20231118"
"CAD","59.80","61.50","60.61","61.04","RMA","20231118"
"AUD","53.25","54.70","53.95","54.29","RMA","20231118"
"SGD","60.70","62.45","61.54","62.01","RMA","20231118"
"DKK","11.90","12.25","12.08","12.16","RMA","20231118"
"SEK","7.75","8.00","7.86","7.92","RMA","20231118"
"NOK","7.60","7.80","7.68","7.73","RMA","20231118"
"USD","82","84.6","83.05","83.67","BOB","20231118"
"USD.5.20","79.54","","","","BOB","20231118"
"USD.12","77.9","","","","BOB","20231118"
"GBP","101.7","104.55","103.09","103.8","BOB","20231118"
"EUR","88.9","91.45","90.13","90.78","BOB","20231118"
"JPY","54.75","56.35","55.5","55.93","BOB","20231118"
"CHF","92.3","94.95","93.53","94.28","BOB","20231118"
"HKD","10.5","10.8","10.65","10.73","BOB","20231118"
"CAD","59.6","61.35","60.41","60.9","BOB","20231118"
"AUD","53.15","54.65","53.89","54.26","BOB","20231118"
"SGD","60.9","62.65","61.71","62.2","BOB","20231118"
"DKK","11.9","12.25","12.08","12.17","BOB","20231118"
"SEK","7.75","8","7.86","7.92","BOB","20231118"
"NOK","7.5","7.7","7.61","7.66","BOB","20231118"
"USD","81.90","84.45","82.94","83.53","TBL","20231118"
"USD.5.20","79.44","","","","TBL","20231118"
"USD.12","77.81","","","","TBL","20231118"
"GBP","102.00","104.80","103.40","104.06","TBL","20231118"
"EUR","88.85","91.30","90.03","90.62","TBL","20231118"
"JPY","55.54","55.95","55.14","55.54","TBL","20231118"
"CHF","92.00","94.65","93.26","93.98","TBL","20231118"
"HKD","10.50","10.80","10.62","10.70","TBL","20231118"
"CAD","59.75","61.45","60.55","60.99","TBL","20231118"
"AUD","53.25","54.75","53.98","54.34","TBL","20231118"
"SGD","60.65","62.35","61.49","61.92","TBL","20231118"
"DKK","11.90","12.25","12.07","12.15","TBL","20231118"
"SEK","7.75","7.95","7.85","7.90","TBL","20231118"
"NOK","7.55","7.75","7.64","7.70","TBL","20231118"
