"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.70","84.25","82.71","83.29","RMA","20230928"
"GBP","99.90","102.70","101.26","101.95","RMA","20230928"
"EUR","86.85","89.25","88.01","88.60","RMA","20230928"
"JPY","55.00","56.55","55.75","56.16","RMA","20230928"
"CHF","90.05","92.60","91.26","91.92","RMA","20230928"
"HKD","10.45","10.75","10.58","10.65","RMA","20230928"
"CAD","60.60","62.35","61.44","61.89","RMA","20230928"
"AUD","52.55","54.00","53.26","53.61","RMA","20230928"
"SGD","59.75","61.45","60.55","61.00","RMA","20230928"
"DKK","11.65","11.95","11.80","11.89","RMA","20230928"
"SEK","7.30","7.50","7.39","7.44","RMA","20230928"
"NOK","7.60","7.80","7.69","7.75","RMA","20230928"
"USD","82","84.5","83","83.58","BOB","20230928"
"USD.5.20","79.54","","","","BOB","20230928"
"USD.12","77.9","","","","BOB","20230928"
"GBP","99.55","102.3","100.89","101.56","BOB","20230928"
"EUR","86.5","88.9","87.67","88.25","BOB","20230928"
"JPY","54.9","56.45","55.63","56.03","BOB","20230928"
"CHF","89.35","91.85","90.54","91.21","BOB","20230928"
"HKD","10.45","10.75","10.61","10.69","BOB","20230928"
"CAD","60.5","62.2","61.32","61.76","BOB","20230928"
"AUD","52.2","53.65","52.92","53.28","BOB","20230928"
"SGD","59.75","61.45","60.56","61.01","BOB","20230928"
"DKK","11.6","11.9","11.75","11.84","BOB","20230928"
"SEK","7.45","7.65","7.54","7.6","BOB","20230928"
"NOK","7.6","7.8","7.7","7.76","BOB","20230928"
"USD","81.70","84.25","82.71","83.29","TBL","20230928"
"USD.5.20","79.25","","","","TBL","20230928"
"USD.12","77.62","","","","TBL","20230928"
"GBP","99.90","102.70","101.26","101.95","TBL","20230928"
"EUR","86.85","89.25","88.01","88.60","TBL","20230928"
"JPY","55.00","56.55","55.75","56.16","TBL","20230928"
"CHF","90.05","92.60","91.26","91.92","TBL","20230928"
"HKD","10.45","10.75","10.58","10.65","TBL","20230928"
"CAD","60.60","62.35","61.44","61.89","TBL","20230928"
"AUD","52.55","54.00","53.26","53.61","TBL","20230928"
"SGD","59.75","61.45","60.55","61.00","TBL","20230928"
"DKK","11.65","11.95","11.80","11.89","TBL","20230928"
"SEK","7.30","7.50","7.39","7.44","TBL","20230928"
"NOK","7.60","7.80","7.69","7.75","TBL","20230928"
