"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.15","84.70","83.16","83.74","RMA","20231207"
"GBP","103.70","106.55","105.09","105.78","RMA","20231207"
"EUR","88.90","91.35","90.10","90.69","RMA","20231207"
"JPY","55.75","57.30","56.50","56.91","RMA","20231207"
"CHF","93.85","96.50","95.13","95.83","RMA","20231207"
"HKD","10.50","10.80","10.64","10.71","RMA","20231207"
"CAD","60.50","62.20","61.32","61.76","RMA","20231207"
"AUD","53.95","55.45","54.68","55.05","RMA","20231207"
"SGD","61.30","63.00","62.13","62.56","RMA","20231207"
"DKK","11.90","12.25","12.08","12.17","RMA","20231207"
"SEK","7.85","8.10","7.96","8.02","RMA","20231207"
"NOK","7.55","7.75","7.66","7.72","RMA","20231207"
"USD","82.1","84.65","83.12","83.7","BOB","20231207"
"USD.5.20","79.64","","","","BOB","20231207"
"USD.12","78","","","","BOB","20231207"
"GBP","103.35","106.2","104.76","105.43","BOB","20231207"
"EUR","88.5","90.95","89.7","90.3","BOB","20231207"
"JPY","55.65","57.2","56.4","56.81","BOB","20231207"
"CHF","93.75","96.45","95.04","95.77","BOB","20231207"
"HKD","10.5","10.8","10.64","10.72","BOB","20231207"
"CAD","60.35","62.05","61.19","61.62","BOB","20231207"
"AUD","53.95","55.4","54.66","55","BOB","20231207"
"SGD","61.15","62.9","61.98","62.43","BOB","20231207"
"DKK","11.85","12.2","12.03","12.11","BOB","20231207"
"SEK","7.8","8.05","7.92","7.98","BOB","20231207"
"NOK","7.5","7.7","7.58","7.63","BOB","20231207"
"USD","82.15","84.70","83.16","83.74","TBL","20231207"
"USD.5.20","79.69","","","","TBL","20231207"
"USD.12","78.04","","","","TBL","20231207"
"GBP","103.70","106.55","105.09","105.78","TBL","20231207"
"EUR","88.90","91.35","90.10","90.69","TBL","20231207"
"JPY","55.75","57.30","56.50","56.91","TBL","20231207"
"CHF","93.85","96.50","95.13","95.83","TBL","20231207"
"HKD","10.50","10.80","10.64","10.71","TBL","20231207"
"CAD","60.50","62.20","61.32","61.76","TBL","20231207"
"AUD","53.95","55.45","54.68","55.05","TBL","20231207"
"SGD","61.30","63.00","62.13","62.56","TBL","20231207"
"DKK","11.90","12.25","12.08","12.17","TBL","20231207"
"SEK","7.85","8.10","7.96","8.02","TBL","20231207"
"NOK","7.55","7.75","7.66","7.72","TBL","20231207"
