"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.90","84.45","82.91","83.53","RMA","20240130"
"GBP","104.05","106.95","105.45","106.21","RMA","20240130"
"EUR","88.75","91.25","89.95","90.59","RMA","20240130"
"JPY","55.35","56.95","56.09","56.53","RMA","20240130"
"CHF","94.55","97.30","95.82","96.58","RMA","20240130"
"HKD","10.45","10.75","10.61","10.69","RMA","20240130"
"CAD","60.80","62.55","61.61","62.09","RMA","20240130"
"AUD","53.95","55.45","54.67","55.06","RMA","20240130"
"SGD","61.00","62.80","61.84","62.33","RMA","20240130"
"DKK","11.90","12.25","12.06","12.15","RMA","20240130"
"SEK","7.85","8.05","7.94","8.00","RMA","20240130"
"NOK","7.85","8.05","7.94","8.00","RMA","20240130"
"USD","81.9","84.45","82.93","83.51","BOB","20240130"
"USD.5.10.20","79.44","","","","BOB","20240130"
"USD.1.2","77.81","","","","BOB","20240130"
"GBP","104","106.85","105.39","106.07","BOB","20240130"
"EUR","88.6","91.05","89.78","90.37","BOB","20240130"
"JPY","55.35","56.9","56.11","56.51","BOB","20240130"
"CHF","94.9","97.6","96.19","96.91","BOB","20240130"
"HKD","10.45","10.75","10.61","10.69","BOB","20240130"
"CAD","60.9","62.6","61.7","62.14","BOB","20240130"
"AUD","54","55.5","54.73","55.09","BOB","20240130"
"SGD","61","62.7","61.82","62.25","BOB","20240130"
NA,"11.9","12.2","12.04","12.13","BOB","20240130"
"SEK","7.8","8.05","7.91","7.97","BOB","20240130"
"NOK","7.85","8.05","7.94","8","BOB","20240130"
"USD","81.90","84.45","82.92","83.49","TBL","20240130"
"USD.5.10.20","79.44","","","","TBL","20240130"
"USD.1.2","77.81","","","","TBL","20240130"
"GBP","104.05","106.95","105.45","106.21","TBL","20240130"
"EUR","88.75","91.25","89.95","90.15","TBL","20240130"
"JPY","55.35","56.95","56.09","56.53","TBL","20240130"
"CHF","94.55","97.30","95.82","96.58","TBL","20240130"
"HKD","10.45","10.75","10.61","10.69","TBL","20240130"
"CAD","60.80","62.55","61.61","62.09","TBL","20240130"
"AUD","53.95","55.45","54.67","55.06","TBL","20240130"
"SGD","61.05","62.80","61.89","62.34","TBL","20240130"
"DKK","11.90","12.25","12.06","12.15","TBL","20240130"
"SEK","7.85","8.05","7.94","8.00","TBL","20240130"
"NOK","7.85","8.05","7.94","8.00","TBL","20240130"
