"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.15","84.70","83.17","83.76","RMA","20231212"
"GBP","103.05","105.90","104.47","105.15","RMA","20231212"
"EUR","88.45","90.90","89.65","90.25","RMA","20231212"
"JPY","56.85","58.45","57.63","58.05","RMA","20231212"
"CHF","93.70","96.40","94.97","95.69","RMA","20231212"
"HKD","10.50","10.80","10.65","10.73","RMA","20231212"
"CAD","60.40","62.15","61.23","61.69","RMA","20231212"
"AUD","54.25","55.70","54.97","55.32","RMA","20231212"
"SGD","61.25","63.05","62.10","62.57","RMA","20231212"
"DKK","11.85","12.20","12.02","12.11","RMA","20231212"
"SEK","7.90","8.10","7.98","8.04","RMA","20231212"
"NOK","7.55","7.75","7.65","7.70","RMA","20231212"
"USD","82.15","84.7","83.18","83.76","BOB","20231212"
"USD.5.20","79.69","","","","BOB","20231212"
"USD.12","78.04","","","","BOB","20231212"
"GBP","103","105.85","104.37","105.08","BOB","20231212"
"EUR","88.4","90.85","89.57","90.18","BOB","20231212"
"JPY","56.15","57.7","56.89","57.3","BOB","20231212"
"CHF","93.35","96","94.61","95.32","BOB","20231212"
"HKD","10.5","10.8","10.66","10.73","BOB","20231212"
"CAD","60.35","62.05","61.18","61.63","BOB","20231212"
"AUD","53.8","55.3","54.55","54.91","BOB","20231212"
"SGD","61.05","62.8","61.88","62.34","BOB","20231212"
"DKK","11.85","12.2","12.01","12.1","BOB","20231212"
"SEK","7.85","8.05","7.95","8.01","BOB","20231212"
"NOK","7.5","7.7","7.61","7.67","BOB","20231212"
"USD","82.15","84.70","83.17","83.76","TBL","20231212"
"USD.5.20","79.69","","","","TBL","20231212"
"USD.12","78.04","","","","TBL","20231212"
"GBP","103.05","105.90","104.47","105.15","TBL","20231212"
"EUR","88.45","90.90","89.65","90.25","TBL","20231212"
"JPY","56.85","58.45","57.63","58.05","TBL","20231212"
"CHF","93.70","96.40","94.97","95.69","TBL","20231212"
"HKD","10.50","10.80","10.65","10.73","TBL","20231212"
"CAD","60.40","62.15","61.23","61.69","TBL","20231212"
"AUD","54.25","55.70","54.97","55.32","TBL","20231212"
"SGD","61.25","63.05","62.10","62.57","TBL","20231212"
"DKK","11.85","12.20","12.02","12.11","TBL","20231212"
"SEK","7.90","8.10","7.98","8.04","TBL","20231212"
"NOK","7.55","7.75","7.65","7.70","TBL","20231212"
