"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.75","84.35","82.80","83.42","RMA","20230918"
"GBP","101.90","104.80","103.28","104.03","RMA","20230918"
"EUR","87.65","90.15","88.85","89.49","RMA","20230918"
"JPY","55.40","57.00","56.18","56.60","RMA","20230918"
"CHF","91.45","94.10","92.68","93.41","RMA","20230918"
"HKD","10.45","10.75","10.58","10.66","RMA","20230918"
"CAD","60.35","62.10","61.17","61.66","RMA","20230918"
"AUD","52.55","54.00","53.24","53.62","RMA","20230918"
"SGD","60.00","61.75","60.83","61.30","RMA","20230918"
"DKK","11.75","12.10","11.91","12.00","RMA","20230918"
"SEK","7.35","7.55","7.44","7.50","RMA","20230918"
"NOK","7.60","7.85","7.72","7.79","RMA","20230918"
"USD","81.9","84.5","82.94","83.56","BOB","20230918"
"USD.5.20","79.44","","","","BOB","20230918"
"USD.12","77.81","","","","BOB","20230918"
"GBP","101.75","104.6","103.11","103.84","BOB","20230918"
"EUR","87.3","89.75","88.47","89.1","BOB","20230918"
"JPY","55.35","56.95","56.11","56.53","BOB","20230918"
"CHF","91.35","94","92.59","93.33","BOB","20230918"
"HKD","10.45","10.75","10.6","10.68","BOB","20230918"
"CAD","60.55","62.3","61.39","61.87","BOB","20230918"
"AUD","52.85","54.3","53.54","53.9","BOB","20230918"
"SGD","60.05","61.75","60.85","61.31","BOB","20230918"
"DKK","11.7","12.05","11.86","11.95","BOB","20230918"
"SEK","7.3","7.55","7.42","7.48","BOB","20230918"
"NOK","7.65","7.85","7.74","7.8","BOB","20230918"
"USD","81.75","84.35","82.80","83.42","TBL","20230918"
"USD.5.20","79.30","","","","TBL","20230918"
"USD.12","77.66","","","","TBL","20230918"
"GBP","101.90","104.80","103.28","104.03","TBL","20230918"
"EUR","87.65","90.15","88.85","89.49","TBL","20230918"
"JPY","55.40","57.00","56.18","56.60","TBL","20230918"
"CHF","91.45","94.10","92.68","93.41","TBL","20230918"
"HKD","10.45","10.75","10.58","10.65","TBL","20230918"
"CAD","60.35","62.10","61.17","61.66","TBL","20230918"
"AUD","52.55","54.00","53.24","53.62","TBL","20230918"
"SGD","60.00","61.75","60.83","61.30","TBL","20230918"
"DKK","11.75","12.10","11.91","12.00","TBL","20230918"
"SEK","7.35","7.55","7.44","7.50","TBL","20230918"
"NOK","7.60","7.85","7.72","7.79","TBL","20230918"
