"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.10","84.65","83.11","83.69","RMA","20231216"
"GBP","103.90","106.75","105.29","105.99","RMA","20231216"
"EUR","89.40","91.90","90.63","91.23","RMA","20231216"
"JPY","57.95","59.60","58.73","59.15","RMA","20231216"
"CHF","94.10","96.75","95.35","96.07","RMA","20231216"
"HKD","10.50","10.80","10.64","10.72","RMA","20231216"
"CAD","60.95","62.65","61.77","62.20","RMA","20231216"
"AUD","55.05","56.55","55.77","56.16","RMA","20231216"
"SGD","61.65","63.40","62.48","62.94","RMA","20231216"
"DKK","12.00","12.35","12.15","12.24","RMA","20231216"
"SEK","8.00","8.20","8.08","8.14","RMA","20231216"
"NOK","7.75","8.00","7.87","7.93","RMA","20231216"
"USD","81.75","84.3","82.8","83.37","BOB","20231216"
"USD.5.20","79.3","","","","BOB","20231216"
"USD.12","77.66","","","","BOB","20231216"
"GBP","104.4","107.25","105.8","106.49","BOB","20231216"
"EUR","89.55","92.05","90.75","91.37","BOB","20231216"
"JPY","57.6","59.25","58.38","58.81","BOB","20231216"
"CHF","94.2","96.9","95.5","96.2","BOB","20231216"
"HKD","10.45","10.75","10.61","10.68","BOB","20231216"
"CAD","61.05","62.8","61.88","62.34","BOB","20231216"
"AUD","54.95","56.4","55.67","56.02","BOB","20231216"
"SGD","61.5","63.2","62.32","62.76","BOB","20231216"
"DKK","12","12.35","12.17","12.26","BOB","20231216"
"SEK","8","8.2","8.08","8.14","BOB","20231216"
"NOK","7.8","8","7.91","7.96","BOB","20231216"
"USD","82.10","84.65","83.11","83.69","TBL","20231216"
"USD.5.20","79.64","","","","TBL","20231216"
"USD.12","78.00","","","","TBL","20231216"
"GBP","103.90","106.75","105.29","105.99","TBL","20231216"
"EUR","89.40","91.90","90.63","91.23","TBL","20231216"
"JPY","57.95","59.60","58.73","59.15","TBL","20231216"
"CHF","94.10","96.75","95.35","96.07","TBL","20231216"
"HKD","10.50","10.80","10.64","10.72","TBL","20231216"
"CAD","60.95","62.65","61.77","62.20","TBL","20231216"
"AUD","55.05","56.55","55.77","56.16","TBL","20231216"
"SGD","61.65","63.40","62.48","62.94","TBL","20231216"
"DKK","12.00","12.35","12.15","12.24","TBL","20231216"
"SEK","8.00","8.20","8.08","8.14","TBL","20231216"
"NOK","7.75","8.00","7.87","7.93","TBL","20231216"
