"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.10","84.65","83.14","83.72","RMA","20231122"
"GBP","102.80","105.65","104.20","104.90","RMA","20231122"
"EUR","89.80","92.25","91.01","91.61","RMA","20231122"
"JPY","55.50","57.05","56.25","56.65","RMA","20231122"
"CHF","92.75","95.40","94.02","94.72","RMA","20231122"
"HKD","10.50","10.80","10.66","10.74","RMA","20231122"
"CAD","59.75","61.40","60.55","60.98","RMA","20231122"
"AUD","53.80","55.30","54.55","54.89","RMA","20231122"
"SGD","61.35","63.10","62.17","62.63","RMA","20231122"
"DKK","12.05","12.40","12.20","12.29","RMA","20231122"
"SEK","7.85","8.10","7.98","8.04","RMA","20231122"
"NOK","7.70","7.90","7.79","7.85","RMA","20231122"
"USD","82.1","84.65","83.14","83.72","BOB","20231122"
"USD.5.20","79.64","","","","BOB","20231122"
"USD.12","78","","","","BOB","20231122"
"GBP","102.8","105.65","104.2","104.9","BOB","20231122"
"EUR","89.8","92.25","91.01","91.61","BOB","20231122"
"JPY","55.5","57.05","56.25","56.65","BOB","20231122"
"CHF","92.75","95.4","94.02","94.72","BOB","20231122"
"HKD","10.5","10.8","10.66","10.74","BOB","20231122"
"CAD","59.75","61.4","60.55","60.98","BOB","20231122"
"AUD","53.8","55.3","54.55","54.89","BOB","20231122"
"SGD","61.35","63.1","62.17","62.63","BOB","20231122"
"DKK","12.05","12.4","12.2","12.29","BOB","20231122"
"SEK","7.85","8.1","7.98","8.04","BOB","20231122"
"NOK","7.7","7.9","7.79","7.85","BOB","20231122"
"USD","82.10","84.65","83.15","83.73","TBL","20231122"
"USD.5.20","79.64","","","","TBL","20231122"
"USD.12","78.00","","","","TBL","20231122"
"GBP","102.60","105.40","103.97","104.66","TBL","20231122"
"EUR","89.70","92.20","90.93","91.53","TBL","20231122"
"JPY","55.30","56.85","56.07","56.47","TBL","20231122"
"CHF","92.90","95.50","94.16","94.83","TBL","20231122"
"HKD","10.50","10.80","10.67","10.74","TBL","20231122"
"CAD","59.85","61.55","60.67","61.11","TBL","20231122"
"AUD","53.80","55.30","54.55","54.92","TBL","20231122"
"SGD","61.25","62.95","62.06","62.50","TBL","20231122"
"DKK","12.05","12.35","12.19","12.28","TBL","20231122"
"SEK","7.85","8.05","7.94","8.00","TBL","20231122"
"NOK","7.65","7.85","7.74","7.79","TBL","20231122"
