"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.50","84.05","82.50","83.12","RMA","20230905"
"GBP","103.20","106.10","104.59","105.34","RMA","20230905"
"EUR","88.30","90.80","89.50","90.14","RMA","20230905"
"JPY","55.95","57.55","56.73","57.16","RMA","20230905"
"CHF","92.20","94.85","93.43","94.17","RMA","20230905"
"HKD","10.40","10.65","10.52","10.60","RMA","20230905"
"CAD","60.25","62.00","61.08","61.56","RMA","20230905"
"AUD","52.70","54.15","53.42","53.78","RMA","20230905"
"SGD","60.25","62.00","61.07","61.54","RMA","20230905"
"DKK","11.85","12.20","12.01","12.10","RMA","20230905"
"SEK","7.40","7.65","7.53","7.58","RMA","20230905"
"NOK","7.65","7.90","7.77","7.84","RMA","20230905"
"USD","81.5","84.05","82.51","83.13","BOB","20230905"
"USD.5.20","79.06","","","","BOB","20230905"
"USD.12","77.43","","","","BOB","20230905"
"GBP","102.85","105.75","104.24","104.99","BOB","20230905"
"EUR","87.9","90.35","89.09","89.72","BOB","20230905"
"JPY","55.6","57.2","56.36","56.79","BOB","20230905"
"CHF","92.05","94.7","93.3","94.04","BOB","20230905"
"HKD","10.4","10.7","10.53","10.61","BOB","20230905"
"CAD","59.85","61.6","60.67","61.14","BOB","20230905"
"AUD","52.65","54.1","53.35","53.73","BOB","20230905"
"SGD","60.1","61.85","60.93","61.4","BOB","20230905"
"DKK","11.8","12.15","11.95","12.04","BOB","20230905"
"SEK","7.4","7.6","7.49","7.55","BOB","20230905"
"NOK","7.65","7.85","7.75","7.81","BOB","20230905"
"USD","81.50","84.05","82.50","83.12","TBL","20230905"
"USD.5.20","79.06","","","","TBL","20230905"
"USD.12","77.43","","","","TBL","20230905"
"GBP","103.20","106.10","104.59","105.34","TBL","20230905"
"EUR","88.30","90.80","89.50","90.14","TBL","20230905"
"JPY","55.95","57.55","56.73","57.16","TBL","20230905"
"CHF","92.20","94.85","93.43","94.17","TBL","20230905"
"HKD","10.40","10.65","10.52","10.60","TBL","20230905"
"CAD","60.25","62.00","61.08","61.56","TBL","20230905"
"AUD","52.70","54.15","53.42","53.78","TBL","20230905"
"SGD","60.25","62.00","61.07","61.54","TBL","20230905"
"DKK","11.85","12.20","12.01","12.10","TBL","20230905"
"SEK","7.40","7.65","7.53","7.58","TBL","20230905"
"NOK","7.65","7.90","7.77","7.84","TBL","20230905"
