"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.80","84.40","82.84","83.46","RMA","20240123"
"GBP","103.70","106.60","105.11","105.85","RMA","20240123"
"EUR","88.95","91.45","90.15","90.82","RMA","20240123"
"JPY","55.20","56.80","55.97","56.40","RMA","20240123"
"CHF","94.10","96.80","95.36","96.12","RMA","20240123"
"HKD","10.45","10.75","10.59","10.67","RMA","20240123"
"CAD","60.70","62.45","61.50","61.98","RMA","20240123"
"AUD","53.95","55.45","54.67","55.06","RMA","20240123"
"SGD","60.95","62.70","61.77","62.27","RMA","20240123"
"DKK","11.95","12.25","12.09","12.18","RMA","20240123"
"SEK","7.80","8.05","7.92","7.98","RMA","20240123"
"NOK","7.80","8.05","7.92","7.98","RMA","20240123"
"USD","81.9","84.5","82.93","83.55","BOB","20240123"
"USD.5.10.20","79.44","","","","BOB","20240123"
"USD.1.2","77.81","","","","BOB","20240123"
"GBP","103.95","106.9","105.36","106.14","BOB","20240123"
"EUR","89.15","91.7","90.38","91.02","BOB","20240123"
"JPY","55.25","56.8","55.98","56.41","BOB","20240123"
"CHF","94.25","97","95.53","96.3","BOB","20240123"
"HKD","10.45","10.75","10.61","10.69","BOB","20240123"
"CAD","60.95","62.7","61.75","62.23","BOB","20240123"
"AUD","53.9","55.4","54.64","55.01","BOB","20240123"
"SGD","61","62.75","61.82","62.32","BOB","20240123"
NA,"11.95","12.3","12.12","12.21","BOB","20240123"
"SEK","7.85","8.05","7.94","8","BOB","20240123"
"NOK","7.8","8","7.89","7.96","BOB","20240123"
"USD","81.80","84.40","82.84","83.46","TBL","20240123"
"USD.5.10.20","79.35","","","","TBL","20240123"
"USD.1.2","77.71","","","","TBL","20240123"
"GBP","103.70","106.60","105.11","105.85","TBL","20240123"
"EUR","88.95","91.45","90.15","90.82","TBL","20240123"
"JPY","55.20","56.80","55.97","56.40","TBL","20240123"
"CHF","94.10","96.80","95.36","96.12","TBL","20240123"
"HKD","10.45","10.75","10.59","10.67","TBL","20240123"
"CAD","60.70","62.45","61.50","61.98","TBL","20240123"
"AUD","53.95","55.45","54.67","55.06","TBL","20240123"
"SGD","60.95","62.70","61.77","62.27","TBL","20240123"
"DKK","11.95","12.25","12.09","12.18","TBL","20240123"
"SEK","7.80","8.05","7.92","7.98","TBL","20240123"
"NOK","7.80","8.05","7.92","7.98","TBL","20240123"
