"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.55","84.10","82.58","83.15","RMA","20230904"
"GBP","103.40","106.25","104.79","105.49","RMA","20230904"
"EUR","88.60","91.05","89.82","90.41","RMA","20230904"
"JPY","55.85","57.40","56.60","57.01","RMA","20230904"
"CHF","92.35","94.95","93.59","94.29","RMA","20230904"
"HKD","10.40","10.70","10.53","10.60","RMA","20230904"
"CAD","60.10","61.80","60.94","61.38","RMA","20230904"
"AUD","52.70","54.20","53.43","53.79","RMA","20230904"
"SGD","60.30","62.00","61.10","61.55","RMA","20230904"
"DKK","11.90","12.20","12.05","12.13","RMA","20230904"
"SEK","7.45","7.65","7.56","7.62","RMA","20230904"
"NOK","7.65","7.85","7.74","7.80","RMA","20230904"
"USD","81.5","84.05","82.5","83.12","BOB","20230904"
"USD.5.20","79.06","","","","BOB","20230904"
"USD.12","77.43","","","","BOB","20230904"
"GBP","103.2","106.1","104.59","105.34","BOB","20230904"
"EUR","88.3","90.8","89.5","90.14","BOB","20230904"
"JPY","55.95","57.55","56.73","57.16","BOB","20230904"
"CHF","92.2","94.85","93.43","94.17","BOB","20230904"
"HKD","10.4","10.65","10.52","10.6","BOB","20230904"
"CAD","60.25","62","61.08","61.56","BOB","20230904"
"AUD","52.7","54.15","53.42","53.78","BOB","20230904"
"SGD","60.25","62","61.07","61.54","BOB","20230904"
"DKK","11.85","12.2","12.01","12.1","BOB","20230904"
"SEK","7.4","7.65","7.53","7.58","BOB","20230904"
"NOK","7.65","7.9","7.77","7.84","BOB","20230904"
"USD","81.50","84.05","82.50","83.12","TBL","20230904"
"USD.5.20","79.06","","","","TBL","20230904"
"USD.12","77.43","","","","TBL","20230904"
"GBP","103.20","106.10","104.59","105.34","TBL","20230904"
"EUR","88.30","90.80","89.50","90.14","TBL","20230904"
"JPY","55.95","57.55","56.73","57.16","TBL","20230904"
"CHF","92.20","94.85","93.43","94.17","TBL","20230904"
"HKD","10.40","10.65","10.52","10.60","TBL","20230904"
"CAD","60.25","62.00","61.08","61.56","TBL","20230904"
"AUD","52.70","54.15","53.42","53.78","TBL","20230904"
"SGD","60.25","62.00","61.07","61.54","TBL","20230904"
"DKK","11.85","12.20","12.01","12.10","TBL","20230904"
"SEK","7.40","7.65","7.53","7.58","TBL","20230904"
"NOK","7.65","7.90","7.77","7.84","TBL","20230904"
