"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.95","84.50","82.96","83.58","RMA","20231230"
"GBP","104.75","107.70","106.15","106.91","RMA","20231230"
"EUR","91.10","93.65","92.33","92.99","RMA","20231230"
"JPY","58.15","59.80","58.94","59.39","RMA","20231230"
"CHF","97.95","100.80","99.27","100.07","RMA","20231230"
"HKD","10.45","10.75","10.62","10.69","RMA","20231230"
"CAD","61.95","63.75","62.78","63.27","RMA","20231230"
"AUD","55.95","57.50","56.69","57.07","RMA","20231230"
"SGD","62.15","63.95","62.97","63.48","RMA","20231230"
"DKK","12.20","12.55","12.38","12.48","RMA","20231230"
"SEK","8.25","8.50","8.35","8.42","RMA","20231230"
"NOK","8.10","8.35","8.21","8.28","RMA","20231230"
"USD","82","84.5","83.01","83.57","BOB","20231230"
"USD.5.20","79.54","","","","BOB","20231230"
"USD.12","77.9","","","","BOB","20231230"
"GBP","104.1","106.95","105.51","106.16","BOB","20231230"
"EUR","90.5","93","91.75","92.34","BOB","20231230"
"JPY","57.75","59.35","58.51","58.92","BOB","20231230"
"CHF","97.45","100.25","98.77","99.52","BOB","20231230"
"HKD","10.5","10.8","10.63","10.7","BOB","20231230"
"CAD","61.8","63.5","62.63","63.06","BOB","20231230"
"AUD","55.75","57.3","56.49","56.87","BOB","20231230"
"SGD","62","63.75","62.84","63.29","BOB","20231230"
"DKK","12.15","12.5","12.31","12.39","BOB","20231230"
"SEK","8.15","8.4","8.27","8.33","BOB","20231230"
"NOK","8.05","8.25","8.15","8.21","BOB","20231230"
"USD","81.95","84.50","82.96","83.58","TBL","20231230"
"USD.5.20","79.49","","","","TBL","20231230"
"USD.12","77.85","","","","TBL","20231230"
"GBP","104.75","107.70","106.15","106.91","TBL","20231230"
"EUR","91.10","93.65","92.33","92.99","TBL","20231230"
"JPY","58.15","59.80","58.94","59.39","TBL","20231230"
"CHF","97.95","100.80","99.27","100.07","TBL","20231230"
"HKD","10.45","10.75","10.62","10.69","TBL","20231230"
"CAD","61.95","63.75","62.78","63.27","TBL","20231230"
"AUD","55.95","57.50","56.69","57.07","TBL","20231230"
"SGD","62.15","63.95","62.97","63.48","TBL","20231230"
"DKK","12.20","12.55","12.38","12.48","TBL","20231230"
"SEK","8.25","8.50","8.35","8.42","TBL","20231230"
"NOK","8.10","8.35","8.21","8.28","TBL","20231230"
