"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"GBP","102.85","105.65","104.22","104.91","RMA","20231215"
"EUR","88.55","91.00","89.76","90.35","RMA","20231215"
"JPY","56.30","57.85","57.04","57.44","RMA","20231215"
"CHF","93.70","96.35","94.97","95.64","RMA","20231215"
"HKD","10.50","10.80","10.65","10.72","RMA","20231215"
"CAD","60.40","62.10","61.20","61.64","RMA","20231215"
"AUD","53.80","55.30","54.55","54.91","RMA","20231215"
"SGD","61.10","62.80","61.91","62.36","RMA","20231215"
"DKK","11.85","12.20","12.03","12.12","RMA","20231215"
"SEK","7.85","8.05","7.96","8.01","RMA","20231215"
"NOK","7.45","7.70","7.57","7.62","RMA","20231215"
"USD","82.15","84.70","83.20","83.78","RMA","20231215"
"USD","82.1","84.65","83.11","83.69","BOB","20231215"
"USD.5.20","79.64","","","","BOB","20231215"
"USD.12","78","","","","BOB","20231215"
"GBP","103.9","106.75","105.29","105.99","BOB","20231215"
"EUR","89.4","91.9","90.63","91.23","BOB","20231215"
"JPY","57.95","59.6","58.73","59.15","BOB","20231215"
"CHF","94.1","96.75","95.35","96.07","BOB","20231215"
"HKD","10.5","10.8","10.64","10.72","BOB","20231215"
"CAD","60.95","62.65","61.77","62.2","BOB","20231215"
"AUD","55.05","56.55","55.77","56.16","BOB","20231215"
"SGD","61.65","63.4","62.48","62.94","BOB","20231215"
"DKK","12","12.35","12.15","12.24","BOB","20231215"
"SEK","8","8.2","8.08","8.14","BOB","20231215"
"NOK","7.75","8","7.87","7.93","BOB","20231215"
"USD","82.15","84.70","83.20","83.78","TBL","20231215"
"USD.5.20","79.69","","","","TBL","20231215"
"USD.12","78.04","","","","TBL","20231215"
"GBP","102.85","105.65","104.22","104.91","TBL","20231215"
"EUR","88.55","91.00","89.76","90.35","TBL","20231215"
"JPY","56.30","57.85","57.04","57.44","TBL","20231215"
"CHF","93.70","96.35","94.97","95.64","TBL","20231215"
"HKD","10.50","10.80","10.65","10.72","TBL","20231215"
"CAD","60.40","62.10","61.20","61.64","TBL","20231215"
"AUD","53.80","55.30","54.55","54.91","TBL","20231215"
"SGD","61.10","62.80","61.91","62.36","TBL","20231215"
"DKK","11.85","12.20","12.03","12.12","TBL","20231215"
"SEK","7.85","8.05","7.96","8.01","TBL","20231215"
"NOK","7.45","7.70","7.57","7.62","TBL","20231215"
