"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.45","84.00","82.49","83.06","RMA","20230831"
"GBP","102.70","105.55","104.08","104.78","RMA","20230831"
"EUR","88.05","90.45","89.22","89.81","RMA","20230831"
"JPY","55.55","57.10","56.28","56.68","RMA","20230831"
"CHF","92.05","94.65","93.30","94.00","RMA","20230831"
"HKD","10.35","10.65","10.51","10.59","RMA","20230831"
"CAD","59.80","61.50","60.63","61.07","RMA","20230831"
"AUD","52.55","54.00","53.24","53.59","RMA","20230831"
"SGD","60.10","61.80","60.91","61.36","RMA","20230831"
"DKK","11.80","12.15","11.97","12.05","RMA","20230831"
"SEK","7.40","7.60","7.51","7.57","RMA","20230831"
"NOK","7.60","7.85","7.72","7.78","RMA","20230831"
"USD","81.5","84.05","82.5","83.12","BOB","20230831"
"USD.5.20","79.06","","","","BOB","20230831"
"USD.12","77.43","","","","BOB","20230831"
"GBP","103.05","105.95","104.43","105.18","BOB","20230831"
"EUR","88.65","91.15","89.84","90.49","BOB","20230831"
"JPY","55.6","57.2","56.37","56.79","BOB","20230831"
"CHF","92.5","95.15","93.74","94.45","BOB","20230831"
"HKD","10.35","10.65","10.51","10.59","BOB","20230831"
"CAD","60","61.7","60.81","61.28","BOB","20230831"
"AUD","52.65","54.1","53.34","53.73","BOB","20230831"
"SGD","60.2","61.9","60.99","61.45","BOB","20230831"
"DKK","11.9","12.25","12.05","12.14","BOB","20230831"
"SEK","7.5","7.7","7.58","7.64","BOB","20230831"
"NOK","7.65","7.9","7.78","7.84","BOB","20230831"
"USD","81.45","84.00","82.49","83.06","TBL","20230831"
"USD.5.20","79.01","","","","TBL","20230831"
"USD.12","77.38","","","","TBL","20230831"
"GBP","102.70","105.55","104.08","104.78","TBL","20230831"
"EUR","88.05","90.45","89.22","89.81","TBL","20230831"
"JPY","55.55","57.10","56.28","56.68","TBL","20230831"
"CHF","92.05","94.65","93.30","94.00","TBL","20230831"
"HKD","10.35","10.65","10.51","10.59","TBL","20230831"
"CAD","59.80","61.50","60.63","61.07","TBL","20230831"
"AUD","52.55","54.00","53.24","53.59","TBL","20230831"
"SGD","60.10","61.80","60.91","61.36","TBL","20230831"
"DKK","11.80","12.15","11.97","12.05","TBL","20230831"
"SEK","7.40","7.60","7.51","7.57","TBL","20230831"
"NOK","7.60","7.85","7.72","7.78","TBL","20230831"
