"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.10","84.70","83.12","83.74","RMA","20231124"
"GBP","103.00","105.90","104.41","105.15","RMA","20231124"
"EUR","89.60","92.15","90.79","91.47","RMA","20231124"
"JPY","54.95","56.50","55.68","56.12","RMA","20231124"
"CHF","92.90","95.55","94.14","94.89","RMA","20231124"
"HKD","10.50","10.80","10.66","10.74","RMA","20231124"
"CAD","59.90","61.65","60.73","61.20","RMA","20231124"
"AUD","53.80","55.35","54.55","54.94","RMA","20231124"
"SGD","61.20","63.00","62.05","62.54","RMA","20231124"
"DKK","12.00","12.35","12.18","12.27","RMA","20231124"
"SEK","7.80","8.05","7.93","7.99","RMA","20231124"
"NOK","7.65","7.85","7.74","7.80","RMA","20231124"
"USD","82.1","84.7","83.12","83.74","BOB","20231124"
"USD.5.20","79.64","","","","BOB","20231124"
"USD.12","78","","","","BOB","20231124"
"GBP","103","105.9","104.41","105.15","BOB","20231124"
"EUR","89.6","92.15","90.79","91.47","BOB","20231124"
"JPY","54.95","56.5","55.68","56.12","BOB","20231124"
"CHF","92.9","95.55","94.14","94.89","BOB","20231124"
"HKD","10.5","10.8","10.66","10.74","BOB","20231124"
"CAD","59.9","61.65","60.73","61.2","BOB","20231124"
"AUD","53.8","55.35","54.55","54.94","BOB","20231124"
"SGD","61.2","63","62.05","62.54","BOB","20231124"
"DKK","12","12.35","12.18","12.27","BOB","20231124"
"SEK","7.8","8.05","7.93","7.99","BOB","20231124"
"NOK","7.65","7.85","7.74","7.8","BOB","20231124"
"USD","82.10","84.65","83.11","83.73","TBL","20231124"
"USD.5.20","79.64","","","","TBL","20231124"
"USD.12","78.00","","","","TBL","20231124"
"GBP","102.75","105.60","104.14","104.86","TBL","20231124"
"EUR","89.40","91.90","90.06","91.25","TBL","20231124"
"JPY","55.00","56.55","55.72","56.15","TBL","20231124"
"CHF","92.65","95.35","93.93","94.67","TBL","20231124"
"HKD","10.50","10.80","10.66","10.74","TBL","20231124"
"CAD","59.80","61.50","60.60","61.07","TBL","20231124"
"AUD","53.75","55.25","54.46","54.85","TBL","20231124"
"SGD","61.10","62.90","61.94","62.43","TBL","20231124"
"DKK","12.00","12.35","12.15","12.24","TBL","20231124"
"SEK","7.85","8.05","7.94","8.00","TBL","20231124"
"NOK","7.65","7.85","7.76","7.82","TBL","20231124"
