"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.10","84.65","83.13","83.71","RMA","20231201"
"GBP","103.60","106.45","105.01","105.69","RMA","20231201"
"EUR","89.85","92.35","91.07","91.68","RMA","20231201"
"JPY","55.20","56.75","55.94","56.35","RMA","20231201"
"CHF","93.20","95.85","94.44","95.14","RMA","20231201"
"HKD","10.50","10.80","10.66","10.74","RMA","20231201"
"CAD","60.35","62.05","61.18","61.62","RMA","20231201"
"AUD","54.30","55.75","55.01","55.36","RMA","20231201"
"SGD","61.40","63.10","62.21","62.67","RMA","20231201"
"DKK","12.05","12.40","12.21","12.30","RMA","20231201"
"SEK","7.85","8.10","7.97","8.03","RMA","20231201"
"NOK","7.70","7.90","7.79","7.85","RMA","20231201"
"USD","82.1","84.65","83.12","83.7","BOB","20231201"
"USD.5.20","79.64","","","","BOB","20231201"
"USD.12","78","","","","BOB","20231201"
"GBP","104","106.9","105.41","106.11","BOB","20231201"
"EUR","90","92.5","91.23","91.84","BOB","20231201"
"JPY","55.55","57.15","56.33","56.72","BOB","20231201"
"CHF","93.5","96.2","94.79","95.49","BOB","20231201"
"HKD","10.5","10.8","10.65","10.73","BOB","20231201"
"CAD","60.4","62.1","61.22","61.65","BOB","20231201"
"AUD","54.35","55.85","55.08","55.46","BOB","20231201"
"SGD","61.55","63.3","62.4","62.86","BOB","20231201"
"DKK","12.05","12.4","12.23","12.32","BOB","20231201"
"SEK","7.9","8.15","8.03","8.08","BOB","20231201"
"NOK","7.7","7.9","7.79","7.85","BOB","20231201"
"USD","82.10","84.65","83.12","83.70","TBL","20231201"
"USD.5.20","79.64","","","","TBL","20231201"
"USD.12","78.00","","","","TBL","20231201"
"GBP","104.00","106.90","105.41","106.11","TBL","20231201"
"EUR","90.00","92.50","91.23","91.84","TBL","20231201"
"JPY","55.55","57.15","56.33","56.72","TBL","20231201"
"CHF","93.50","96.20","94.79","95.49","TBL","20231201"
"HKD","10.50","10.80","10.65","10.73","TBL","20231201"
"CAD","60.40","62.10","61.22","61.65","TBL","20231201"
"AUD","54.35","55.85","55.08","55.46","TBL","20231201"
"SGD","61.55","63.30","62.40","62.86","TBL","20231201"
"DKK","12.05","12.40","12.23","12.32","TBL","20231201"
"SEK","7.90","8.15","8.03","8.08","TBL","20231201"
"NOK","7.70","7.90","7.79","7.85","TBL","20231201"
