"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.75","84.30","82.80","83.38","RMA","20230913"
"GBP","102.40","105.25","103.78","104.48","RMA","20230913"
"EUR","87.70","90.10","88.88","89.47","RMA","20230913"
"JPY","55.70","57.25","56.45","56.85","RMA","20230913"
"CHF","91.60","94.20","92.84","93.54","RMA","20230913"
"HKD","10.45","10.70","10.57","10.64","RMA","20230913"
"CAD","60.10","61.80","60.89","61.34","RMA","20230913"
"AUD","52.55","54.00","53.28","53.61","RMA","20230913"
"SGD","60.00","61.70","60.83","61.28","RMA","20230913"
"DKK","11.75","12.10","11.92","12.00","RMA","20230913"
"SEK","7.40","7.60","7.48","7.54","RMA","20230913"
"NOK","7.65","7.90","7.78","7.83","RMA","20230913"
"USD","81.7","84.25","82.71","83.29","BOB","20230913"
"USD.5.20","79.25","","","","BOB","20230913"
"USD.12","77.62","","","","BOB","20230913"
"GBP","101.8","104.6","103.16","103.85","BOB","20230913"
"EUR","87.5","89.95","88.7","89.29","BOB","20230913"
"JPY","55.6","57.15","56.34","56.75","BOB","20230913"
"CHF","91.5","94.1","92.76","93.42","BOB","20230913"
"HKD","10.4","10.7","10.56","10.64","BOB","20230913"
"CAD","60.1","61.8","60.92","61.35","BOB","20230913"
"AUD","52.45","53.9","53.17","53.52","BOB","20230913"
"SGD","59.95","61.65","60.74","61.19","BOB","20230913"
"DKK","11.75","12.05","11.89","11.97","BOB","20230913"
"SEK","7.35","7.55","7.46","7.52","BOB","20230913"
"NOK","7.65","7.85","7.75","7.81","BOB","20230913"
"USD","81.70","84.25","82.74","83.31","TBL","20230913"
"USD.5.20","79.25","","","","TBL","20230913"
"USD.12","77.62","","","","TBL","20230913"
"GBP","101.90","104.75","103.29","103.98","TBL","20230913"
"EUR","87.40","89.80","88.57","89.17","TBL","20230913"
"JPY","55.45","57.00","56.18","56.58","TBL","20230913"
"CHF","91.55","94.10","92.78","93.43","TBL","20230913"
"HKD","10.40","10.70","10.55","10.63","TBL","20230913"
"CAD","59.70","61.40","60.53","60.97","TBL","20230913"
"AUD","52.30","53.75","52.91","53.36","TBL","20230913"
"SGD","59.85","61.55","60.66","61.09","TBL","20230913"
"DKK","11.70","12.05","11.87","11.95","TBL","20230913"
"SEK","7.35","7.55","7.43","7.48","TBL","20230913"
"NOK","7.65","7.85","7.75","7.81","TBL","20230913"
