"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.95","84.50","82.99","83.56","RMA","20231227"
"GBP","103.95","106.80","105.35","106.05","RMA","20231227"
"EUR","90.20","92.70","91.41","92.04","RMA","20231227"
"JPY","57.45","59.05","58.23","58.64","RMA","20231227"
"CHF","95.50","98.15","96.78","97.46","RMA","20231227"
"HKD","10.50","10.80","10.63","10.70","RMA","20231227"
"CAD","61.80","63.50","62.61","63.05","RMA","20231227"
"AUD","55.70","57.20","56.43","56.81","RMA","20231227"
"SGD","61.85","63.60","62.68","63.14","RMA","20231227"
"DKK","12.10","12.45","12.26","12.35","RMA","20231227"
"SEK","8.15","8.35","8.25","8.31","RMA","20231227"
"NOK","8.00","8.20","8.10","8.16","RMA","20231227"
"USD","81.95","84.5","82.99","83.56","BOB","20231227"
"USD.5.20","79.49","","","","BOB","20231227"
"USD.12","77.85","","","","BOB","20231227"
"GBP","103.95","106.8","105.35","106.05","BOB","20231227"
"EUR","90.2","92.7","91.41","92.04","BOB","20231227"
"JPY","57.45","59.05","58.23","58.64","BOB","20231227"
"CHF","95.5","98.15","96.78","97.46","BOB","20231227"
"HKD","10.5","10.8","10.63","10.7","BOB","20231227"
"CAD","61.8","63.5","62.61","63.05","BOB","20231227"
"AUD","55.7","57.2","56.43","56.81","BOB","20231227"
"SGD","61.85","63.6","62.68","63.14","BOB","20231227"
"DKK","12.1","12.45","12.26","12.35","BOB","20231227"
"SEK","8.15","8.35","8.25","8.31","BOB","20231227"
"NOK","8","8.2","8.1","8.16","BOB","20231227"
"USD","81.95","84.50","82.96","83.54","TBL","20231227"
"USD.5.20","79.49","","","","TBL","20231227"
"USD.12","77.85","","","","TBL","20231227"
"GBP","103.95","106.80","105.36","106.05","TBL","20231227"
"EUR","90.20","92.65","91.40","92.00","TBL","20231227"
"JPY","57.50","59.10","58.27","58.68","TBL","20231227"
"CHF","95.55","98.25","96.86","97.56","TBL","20231227"
"HKD","10.50","10.75","10.62","10.70","TBL","20231227"
"CAD","61.75","63.50","62.57","63.03","TBL","20231227"
"AUD","55.75","57.30","56.51","56.88","TBL","20231227"
"SGD","61.80","63.55","62.66","63.12","TBL","20231227"
"DKK","12.10","12.45","12.26","12.35","TBL","20231227"
"SEK","8.15","8.40","8.28","8.34","TBL","20231227"
"NOK","8.00","8.25","8.12","8.21","TBL","20231227"
