"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.15","84.70","83.16","83.74","RMA","20231206"
"GBP","103.70","106.55","105.09","105.78","RMA","20231206"
"EUR","88.90","91.35","90.10","90.69","RMA","20231206"
"JPY","55.75","57.30","56.50","56.91","RMA","20231206"
"CHF","93.85","96.50","95.13","95.83","RMA","20231206"
"HKD","10.50","10.80","10.64","10.71","RMA","20231206"
"CAD","60.50","62.20","61.32","61.76","RMA","20231206"
"AUD","53.95","55.45","54.68","55.05","RMA","20231206"
"SGD","61.30","63.00","62.13","62.56","RMA","20231206"
"DKK","11.90","12.25","12.08","12.17","RMA","20231206"
"SEK","7.85","8.10","7.96","8.02","RMA","20231206"
"NOK","7.55","7.75","7.66","7.72","RMA","20231206"
"USD","82.15","84.7","83.16","83.74","BOB","20231206"
"USD.5.20","79.69","","","","BOB","20231206"
"USD.12","78.04","","","","BOB","20231206"
"GBP","103.7","106.55","105.09","105.78","BOB","20231206"
"EUR","88.9","91.35","90.1","90.69","BOB","20231206"
"JPY","55.75","57.3","56.5","56.91","BOB","20231206"
"CHF","93.85","96.5","95.13","95.83","BOB","20231206"
"HKD","10.5","10.8","10.64","10.71","BOB","20231206"
"CAD","60.5","62.2","61.32","61.76","BOB","20231206"
"AUD","53.95","55.45","54.68","55.05","BOB","20231206"
"SGD","61.3","63","62.13","62.56","BOB","20231206"
"DKK","11.9","12.25","12.08","12.17","BOB","20231206"
"SEK","7.85","8.1","7.96","8.02","BOB","20231206"
"NOK","7.55","7.75","7.66","7.72","BOB","20231206"
"USD","82.15","84.70","83.16","83.73","TBL","20231206"
"USD.5.20","79.69","","","","TBL","20231206"
"USD.12","78.04","","","","TBL","20231206"
"GBP","104.00","106.65","105.43","106.10","TBL","20231206"
"EUR","89.25","91.70","90.45","91.04","TBL","20231206"
"JPY","55.95","57.55","56.72","57.12","TBL","20231206"
"CHF","94.00","96.65","95.28","95.98","TBL","20231206"
"HKD","10.50","10.80","10.64","10.72","TBL","20231206"
"CAD","60.60","62.30","61.41","61.85","TBL","20231206"
"AUD","54.60","56.10","55.34","55.69","TBL","20231206"
"SGD","61.45","63.20","62.30","62.77","TBL","20231206"
"DKK","11.95","12.30","12.13","12.21","TBL","20231206"
"SEK","7.90","8.10","7.99","8.05","TBL","20231206"
"NOK","7.65","7.85","7.75","7.80","TBL","20231206"
