"Currency","10.Percent.Incentive.Rate","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell"
"USD 50 and above","90.893","82.63","83.25","81.6","84.2"
"USD (5,10 & 20)","","","","79.15",""
"USD (1 & 2)","","","","77.52",""
"Pound Sterling","115.39","104.9","105.67","103.5","106.45"
"Euro","99.803","90.73","91.37","89.5","92.05"
"Japanese Yen(100)","62.832","57.12","57.57","56.35","58"
"Swiss Franc","103.609","94.19","94.94","92.95","95.6"
"Hong Kong Dollar","11.627","10.57","10.65","10.45","10.75"
"Canadian Dollar","67.54","61.4","61.88","60.6","62.3"
"Australian Dollar","59.257","53.87","54.25","53.15","54.65"
"Singapore Dollar","67.298","61.18","61.66","60.35","62.1"
"Danish Kroner","13.387","12.17","12.27","12","12.35"
"Swedish Kroner","8.47","7.7","7.76","7.6","7.8"
"Norwegian Kroner","8.734","7.94","8.01","7.85","8.05"
