"Currency","10.Percent.Incentive.Rate","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell"
"USD 50 and above","90.904","82.64","83.21","81.6","84.15"
"USD (5,10 & 20)","","","","79.15",""
"USD (1 & 2)","","","","77.52",""
"Pound Sterling","115.511","105.01","105.73","103.6","106.5"
"Euro","99.495","90.45","91.06","89.25","91.7"
"Japanese Yen(100)","63.679","57.89","58.31","57.1","58.75"
"Swiss Franc","103.554","94.14","94.8","92.9","95.5"
"Hong Kong Dollar","11.638","10.58","10.65","10.45","10.75"
"Canadian Dollar","68.002","61.82","62.27","61","62.7"
"Australian Dollar","59.631","54.21","54.57","53.5","54.95"
"Singapore Dollar","67.672","61.52","61.97","60.7","62.4"
"Danish Kroner","13.354","12.14","12.22","11.95","12.3"
"Swedish Kroner","8.514","7.74","7.79","7.65","7.85"
"Norwegian Kroner","8.899","8.09","8.15","8","8.2"
