"Currency","10.Percent.Incentive.Rate","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell"
"USD 50 and above","89.969","81.79","82.36","80.8","83.3"
"USD (5,10 & 20)","","","","78.38",""
"USD (1 & 2)","","","","76.76",""
"Pound Sterling","116.204","105.64","106.36","104.2","107.15"
"Euro","100.892","91.72","92.33","90.5","93"
"Japanese Yen(100)","64.482","58.62","59.04","57.85","59.45"
"Swiss Franc","104.83","95.3","96","94","96.7"
"Hong Kong Dollar","11.517","10.47","10.54","10.35","10.6"
"Canadian Dollar","68.541","62.31","62.76","61.5","63.2"
"Australian Dollar","61.501","55.91","56.28","55.15","56.7"
"Singapore Dollar","68.013","61.83","62.29","61","62.75"
"Danish Kroner","13.541","12.31","12.39","12.15","12.5"
"Swedish Kroner","8.789","7.99","8.05","7.9","8.1"
"Norwegian Kroner","9.031","8.21","8.27","8.1","8.35"
