"Currency","10.Percent.Incentive.Rate","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell"
"USD 50 and above","89.771","81.61","82.22","80.6","83.15"
"USD (5,10 & 20)","","","","78.18",""
"USD (1 & 2)","","","","76.57",""
"Pound Sterling","115.192","104.72","105.47","103.3","106.25"
"Euro","99.495","90.45","91.09","89.25","91.75"
"Japanese Yen(100)","63.536","57.76","58.21","57","58.65"
"Swiss Franc","103.653","94.23","94.98","92.95","95.65"
"Hong Kong Dollar","11.495","10.45","10.53","10.3","10.6"
"Canadian Dollar","68.046","61.86","62.34","61.05","62.8"
"Australian Dollar","60.533","55.03","55.43","54.3","55.85"
"Singapore Dollar","67.441","61.31","61.77","60.5","62.2"
"Danish Kroner","13.354","12.14","12.23","12","12.3"
"Swedish Kroner","8.613","7.83","7.89","7.75","7.95"
"Norwegian Kroner","8.899","8.09","8.15","8","8.2"
