"Currency","10.Percent.Incentive.Rate","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell"
"USD 50 and above","90.871","82.61","83.23","81.6","84.15"
"USD (5,10 & 20)","","","","79.15",""
"USD (1 & 2)","","","","77.52",""
"Pound Sterling","115.698","105.18","105.93","103.75","106.7"
"Euro","99.693","90.63","91.29","89.4","91.95"
"Japanese Yen(100)","63.536","57.76","58.2","57","58.6"
"Swiss Franc","103.774","94.34","95.09","93.1","95.8"
"Hong Kong Dollar","11.638","10.58","10.66","10.45","10.75"
"Canadian Dollar","67.595","61.45","61.93","60.65","62.4"
"Australian Dollar","59.224","53.84","54.2","53.1","54.6"
"Singapore Dollar","67.496","61.36","61.82","60.55","62.25"
"Danish Kroner","13.376","12.16","12.25","12","12.35"
"Swedish Kroner","8.514","7.74","7.8","7.65","7.85"
"Norwegian Kroner","8.855","8.05","8.11","7.95","8.15"
