"Currency","10.Percent.Incentive.Rate","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell"
"USD 50 and above","90.75","82.5","83.12","81.5","84.05"
"USD (5,10 & 20)","","","","79.06",""
"USD (1 & 2)","","","","77.43",""
"Pound Sterling","114.983","104.53","105.28","103.15","106.05"
"Euro","99.231","90.21","90.86","89","91.5"
"Japanese Yen(100)","63.481","57.71","58.15","56.95","58.55"
"Swiss Franc","103.488","94.08","94.83","92.85","95.5"
"Hong Kong Dollar","11.627","10.57","10.65","10.45","10.75"
"Canadian Dollar","67.881","61.71","62.19","60.9","62.65"
"Australian Dollar","59.301","53.91","54.29","53.2","54.7"
"Singapore Dollar","67.606","61.46","61.93","60.65","62.35"
"Danish Kroner","13.31","12.1","12.2","11.95","12.3"
"Swedish Kroner","8.448","7.68","7.74","7.6","7.8"
"Norwegian Kroner","8.8","8","8.06","7.9","8.1"
