"Currency","10.Percent.Incentive.Rate","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell"
"USD 50 and above","90.871","82.61","83.23","81.6","84.15"
"USD (5,10 & 20)","","","","79.15",""
"USD (1 & 2)","","","","77.52",""
"Pound Sterling","115.698","105.18","105.94","103.8","106.7"
"Euro","99.77","90.7","91.36","89.5","92"
"Japanese Yen(100)","63.415","57.65","58.09","56.9","58.5"
"Swiss Franc","103.708","94.28","95.03","93","95.7"
"Hong Kong Dollar","11.627","10.57","10.64","10.4","10.7"
"Canadian Dollar","67.705","61.55","62.03","60.75","62.5"
"Australian Dollar","59.488","54.08","54.47","53.35","54.85"
"Singapore Dollar","67.551","61.41","61.88","60.6","62.35"
"Danish Kroner","13.387","12.17","12.26","12","12.35"
"Swedish Kroner","8.514","7.74","7.8","7.65","7.85"
"Norwegian Kroner","8.91","8.1","8.16","8","8.2"
